group	volume	title_volume	title_sutra	T_number	credits
阿含部	01	阿含部 Vol. 1	長阿含經	T0001	佛陀耶舍(譯);竺佛念(譯)
阿含部	01	阿含部 Vol. 1	佛説七佛經	T0002	法天(譯)
阿含部	01	阿含部 Vol. 1	毘婆尸佛經	T0003	法天(譯)
阿含部	01	阿含部 Vol. 1	七佛父母姓字經	T0004	(失譯)
阿含部	01	阿含部 Vol. 1	佛般泥洹經	T0005	白法祖(譯)
阿含部	01	阿含部 Vol. 1	般泥洹經	T0006	(失譯)
阿含部	01	阿含部 Vol. 1	大般涅槃經	T0007	法顯(譯)
阿含部	01	阿含部 Vol. 1	佛説大堅固婆羅門縁起經	T0008	施護(譯)
阿含部	01	阿含部 Vol. 1	佛説人仙經	T0009	法賢(譯)
阿含部	01	阿含部 Vol. 1	佛説白衣金幢二婆羅門縁起經	T0010	施護(譯)
阿含部	01	阿含部 Vol. 1	佛説尼拘陀梵志經	T0011	施護(譯)
阿含部	01	阿含部 Vol. 1	佛説大集法門經	T0012	施護(譯)
阿含部	01	阿含部 Vol. 1	長阿含十報法經	T0013	安世高(譯)
阿含部	01	阿含部 Vol. 1	佛説人本欲生經	T0014	安世高(譯)
阿含部	01	阿含部 Vol. 1	佛説帝釋所問經	T0015	法賢(譯)
阿含部	01	阿含部 Vol. 1	佛説尸迦羅越六方禮經	T0016	安世高(譯)
阿含部	01	阿含部 Vol. 1	佛説善生子經	T0017	沙門支法度(譯)
阿含部	01	阿含部 Vol. 1	佛説信佛功徳經	T0018	法賢(譯)
阿含部	01	阿含部 Vol. 1	佛説大三摩惹經	T0019	法天(譯)
阿含部	01	阿含部 Vol. 1	佛開解梵志阿&T075586;經	T0020	支謙(譯)
阿含部	01	阿含部 Vol. 1	佛説梵網六十二見經	T0021	支謙(譯)
阿含部	01	阿含部 Vol. 1	佛説寂志果經	T0022	竺曇無蘭(譯)
阿含部	01	阿含部 Vol. 1	大樓炭經	T0023	法立(譯);法炬(譯)
阿含部	01	阿含部 Vol. 1	起世經	T0024	闍那崛多(譯)
阿含部	01	阿含部 Vol. 1	起世因本經	T0025	達摩笈多(譯)
